code,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602,202603,202604
000045,0,0,0,0,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,6,6,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,7,7,6,6,6,6,6,6,3,3,3,3,5,5,4,4,4,4,4,4,7,7,7,7,8,8,8,8,8,8,8,8,3,3,3,3,5,5,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,9,9,9,9,9,9,9,9,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,7,7,7,7,7,7,7,7
000048,0,0,0,0,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,5,5,7,7,7,7,7,7,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,6,6,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,8,8,7,7,7,7,7,7,3,3,3,3,6,6,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,0,0,0,0,3,3,8,8,8,8,8,8,5,5,5,5,7,7,7,7,7,7,7,7,5,5,5,5,7,7,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,7,7,7,7,7,7,6,6,6,6,5,5,6,6,6,6,6,6,4,4,4,4,5,5,8,8,8,8,8,8,4,4,4,4,6,6,7,7,7,7,7,7
000049,0,0,0,0,6,6,6,6,7,7,6,6,6,6,6,6,5,5,5,5,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,4,4,5,5,5,5,5,5,6,6,6,6,5,5,8,8,8,8,8,8,6,6,6,6,8,8,6,6,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,8,8,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,7,7,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
000050,0,0,0,0,4,4,4,4,9,9,7,7,7,7,7,7,4,4,4,4,8,8,6,6,6,6,6,6,3,3,3,3,7,7,8,8,8,8,8,8,5,5,5,5,9,9,8,8,8,8,8,8,5,5,5,5,7,7,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,7,7,9,9,9,9,9,9,6,6,6,6,7,7,8,8,8,8,8,8,6,6,6,6,8,8,6,6,6,6,6,6,5,5,5,5,7,7,9,9,9,9,9,9,6,6,6,6,9,9,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,8,8,8,8,8,8,7,7,7,7,6,6,7,7,7,7,7,7
000055,0,0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,6,6,7,7,7,7,7,7,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,7,7,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,6,6,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,6,6,6,6,6,6,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,5,5,5,5,5,5,3,3,3,3,3,3
000056,0,0,0,0,3,3,3,3,5,5,3,3,3,3,3,3,2,2,2,2,4,4,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,5,5,5,5,6,6,5,5,5,5,5,5,4,4,4,4,7,7,7,7,7,7,7,7,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,4,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5
000058,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,3,3,3,3,7,7,8,8,8,8,8,8,6,6,6,6,8,8,7,7,7,7,7,7,3,3,3,3,7,7,6,6,6,6,6,6,3,3,3,3,6,6,7,7,7,7,7,7,4,4,4,4,2,2,9,9,9,9,9,9,5,5,5,5,7,7,6,6,6,6,6,6,3,3,3,3,8,8,5,5,5,5,5,5,5,5,5,5,8,8,7,7,7,7,7,7
000059,0,0,0,0,4,4,4,4,7,7,4,4,4,4,4,4,7,7,7,7,7,7,8,8,8,8,8,8,5,5,5,5,4,4,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,6,6,6,2,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6,9,9,5,5,5,5,5,5,7,7,7,7,9,9,8,8,8,8,8,8,3,3,3,3,5,5,8,8,8,8,8,8,3,3,3,3,8,8,8,8,8,8,8,8,5,5,5,5,4,4,6,6,6,6,6,6,2,2,2,2,6,6,6,6,6,6,6,6,5,5,5,5,8,8,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,5,5,6,6,6,6,6,6,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3
000060,0,0,0,0,6,6,6,6,7,7,8,8,8,8,8,8,5,5,5,5,8,8,5,5,5,5,5,5,3,3,3,3,7,7,7,7,7,7,7,7,4,4,4,4,6,6,6,6,6,6,6,6,7,7,7,7,8,8,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,3,3,3,3,7,7,8,8,8,8,8,8,5,5,5,5,9,9,7,7,7,7,7,7,3,3,3,3,5,5,6,6,6,6,6,6,4,4,4,4,5,5,8,8,8,8,8,8,6,6,6,6,7,7,9,9,9,9,9,9,3,3,3,3,6,6,5,5,5,5,5,5,2,2,2,2,6,6,6,6,6,6,6,6,4,4,4,4,6,6,7,7,7,7,7,7,5,5,5,5,6,6,8,8,8,8,8,8,1,1,1,1,6,6,5,5,5,5,5,5
000061,0,0,0,0,4,4,4,4,9,9,6,6,6,6,6,6,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,7,7,7,7,7,7,7,7,6,6,6,6,5,5,8,8,8,8,8,8,5,5,5,5,8,8,7,7,7,7,7,7,3,3,3,3,8,8,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,4,4,9,9,9,9,9,9,5,5,5,5,9,9,8,8,8,8,8,8,5,5,5,5,6,6,7,7,7,7,7,7,6,6,6,6,9,9,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,8,8,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,6,6,7,7,7,7,7,7
000062,0,0,0,0,5,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,8,8,8,8,8,8,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,8,8,5,5,5,5,5,5,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,7,7,4,4,4,4,4,4,5,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,7,7,9,9,9,9,9,9,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,6,6,6,6,8,8,5,5,5,5,5,5
000063,0,0,0,0,3,3,3,3,4,4,7,7,7,7,7,7,3,3,3,3,4,4,6,6,6,6,6,6,4,4,4,4,6,6,3,3,3,3,3,3,6,6,6,6,7,7,5,5,5,5,5,5,3,3,3,3,5,5,7,7,7,7,7,7,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,7,7,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6,6,8,8,8,8,8,8,6,6,6,6,7,7,8,8,8,8,8,8,5,5,5,5,4,4,7,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,3,3,3,3,7,7,7,7,7,7,7,7
000065,0,0,0,0,1,1,1,1,6,6,6,6,6,6,6,6,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,6,6,5,5,5,5,5,5,4,4,4,4,6,6,7,7,7,7,7,7,2,2,2,2,5,5,8,8,8,8,8,8,2,2,2,2,5,5,6,6,6,6,6,6,3,3,3,3,7,7,7,7,7,7,7,7,6,6,6,6,8,8,9,9,9,9,9,9,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,1,1,1,1,4,4,3,3,3,3,3,3,2,2,2,2,5,5,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,4,4,4,4,7,7,7,7,7,7,7,7
000066,0,0,0,0,5,5,5,5,3,3,6,6,6,6,6,6,7,7,7,7,8,8,6,6,6,6,6,6,7,7,7,7,8,8,7,7,7,7,7,7,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,7,7,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,5,5,5,5,5,5,3,3,3,3,5,5,6,6,6,6,6,6,1,1,1,1,4,4,5,5,5,5,5,5,2,2,2,2,3,3,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,3,3,2,2,2,2,2,2,4,4,4,4,5,5,6,6,6,6,6,6
000068,0,0,0,0,3,3,3,3,4,4,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,3,3,4,4,4,4,4,4,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,3,6,6,6,6,6,6,6,6,2,2,2,2,2,2,5,5,5,5,5,5,2,2,2,2,5,5,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,2,2,2,2,5,5,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,7,7,5,5,5,5,5,5,4,4,4,4,4,4,6,6,6,6,6,6,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,4,4,4,4,5,5,6,6,6,6,6,6
000069,0,0,0,0,5,5,5,5,7,7,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,2,2,2,2,5,5,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,7,7,6,6,6,6,6,6,3,3,3,3,4,4,7,7,7,7,7,7,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,6,6,7,7,7,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7
000070,0,0,0,0,3,3,3,3,7,7,7,7,7,7,7,7,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,2,2,2,2,6,6,6,6,6,6,6,6,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,3,3,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,0,0,0,0,3,3,5,5,5,5,5,5,3,3,3,3,5,5,4,4,4,4,4,4,3,3,3,3,5,5,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,4,4,7,7,7,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6
000078,0,0,0,0,3,3,3,3,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,4,4,4,4,4,4,2,2,2,2,7,7,4,4,4,4,4,4,2,2,2,2,4,4,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,2,2,2,2,6,6,6,6,6,6,6,6,4,4,4,4,5,5,7,7,7,7,7,7,4,4,4,4,7,7,9,9,9,9,9,9,5,5,5,5,7,7,6,6,6,6,6,6,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,8,8,6,6,6,6,6,6,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,8,8,7,7,7,7,7,7
000088,0,0,0,0,4,4,4,4,6,6,7,7,7,7,7,7,4,4,4,4,4,4,7,7,7,7,7,7,3,3,3,3,6,6,6,6,6,6,6,6,4,4,4,4,7,7,7,7,7,7,7,7,4,4,4,4,8,8,8,8,8,8,8,8,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,8,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,8,8,7,7,7,7,7,7,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,7,5,5,5,5,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,4,4,4,4,7,7,7,7,7,7,7,7,5,5,5,5,6,6,7,7,7,7,7,7
000089,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,7,7,7,7,7,7,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,7,7,6,6,6,6,6,6,5,5,5,5,7,7,8,8,8,8,8,8,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,6,6,6,6,8,8,7,7,7,7,7,7,4,4,4,4,8,8,7,7,7,7,7,7,5,5,5,5,7,7,6,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8
000090,0,0,0,0,4,4,4,4,7,7,9,9,9,9,9,9,4,4,4,4,7,7,6,6,6,6,6,6,4,4,4,4,7,7,8,8,8,8,8,8,5,5,5,5,3,3,6,6,6,6,6,6,4,4,4,4,5,5,6,6,6,6,6,6,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,5,5,5,5,6,6,7,7,7,7,7,7,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,4,4,4,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,8,8,6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,7,7,4,4,4,4,6,6,4,4,4,4,4,4
000096,0,0,0,0,3,3,3,3,5,5,5,5,5,5,5,5,2,2,2,2,5,5,6,6,6,6,6,6,3,3,3,3,7,7,6,6,6,6,6,6,3,3,3,3,4,4,7,7,7,7,7,7,6,6,6,6,7,7,5,5,5,5,5,5,5,5,5,5,6,6,8,8,8,8,8,8,5,5,5,5,6,6,7,7,7,7,7,7,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,5,5,6,6,6,6,6,6,4,4,4,4,5,5,7,7,7,7,7,7,3,3,3,3,6,6,5,5,5,5,5,5,3,3,3,3,4,4,6,6,6,6,6,6,4,4,4,4,4,4,8,8,8,8,8,8,2,2,2,2,5,5,6,6,6,6,6,6,3,3,3,3,5,5,7,7,7,7,7,7,5,5,5,5,3,3,5,5,5,5,5,5
000099,0,0,0,0,6,6,6,6,5,5,7,7,7,7,7,7,5,5,5,5,5,5,8,8,8,8,8,8,5,5,5,5,6,6,8,8,8,8,8,8,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,7,7,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,8,8,7,7,7,7,7,7,3,3,3,3,5,5,7,7,7,7,7,7,4,4,4,4,7,7,7,7,7,7,7,7,6,6,6,6,9,9,9,9,9,9,9,9,5,5,5,5,8,8,6,6,6,6,6,6,5,5,5,5,7,7,7,7,7,7,7,7,5,5,5,5,9,9,7,7,7,7,7,7,6,6,6,6,9,9,8,8,8,8,8,8,6,6,6,6,8,8,9,9,9,9,9,9
000100,0,0,0,0,4,4,4,4,7,7,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,8,8,8,8,8,8,7,7,7,7,8,8,7,7,7,7,7,7,5,5,5,5,6,6,7,7,7,7,7,7,4,4,4,4,8,8,6,6,6,6,6,6,5,5,5,5,9,9,9,9,9,9,9,9,6,6,6,6,7,7,8,8,8,8,8,8,5,5,5,5,6,6,7,7,7,7,7,7,4,4,4,4,8,8,8,8,8,8,8,8,6,6,6,6,7,7,9,9,9,9,9,9,5,5,5,5,9,9,7,7,7,7,7,7,4,4,4,4,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,8,8,8,8,8,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
000151,0,0,0,0,5,5,5,5,6,6,6,6,6,6,6,6,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,6,6,8,8,8,8,8,8,4,4,4,4,6,6,6,6,6,6,6,6,2,2,2,2,6,6,7,7,7,7,7,7,5,5,5,5,7,7,6,6,6,6,6,6,4,4,4,4,7,7,5,5,5,5,5,5,2,2,2,2,2,2,7,7,7,7,7,7,4,4,4,4,6,6,8,8,8,8,8,8,5,5,5,5,3,3,4,4,4,4,4,4,7,7,7,7,4,4,4,4,4,4,4,4,5,5,5,5,7,7,7,7,7,7,7,7,4,4,4,4,6,6,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5
000153,0,0,0,0,6,6,6,6,8,8,7,7,7,7,7,7,4,4,4,4,9,9,6,6,6,6,6,6,5,5,5,5,7,7,9,9,9,9,9,9,5,5,5,5,9,9,7,7,7,7,7,7,5,5,5,5,7,7,6,6,6,6,6,6,5,5,5,5,7,7,8,8,8,8,8,8,4,4,4,4,6,6,7,7,7,7,7,7,6,6,6,6,8,8,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,7,7,5,5,5,5,5,5,6,6,6,6,8,8,7,7,7,7,7,7,3,3,3,3,7,7,8,8,8,8,8,8,5,5,5,5,5,5,7,7,7,7,7,7,3,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,7,7,7
000155,0,0,0,0,2,2,2,2,6,6,4,4,4,4,4,4,5,5,5,5,4,4,6,6,6,6,6,6,3,3,3,3,5,5,7,7,7,7,7,7,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,6,6,5,5,5,5,5,5,2,2,2,2,5,5,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,8,8,6,6,6,6,6,6,5,5,5,5,7,7,6,6,6,6,6,6,3,3,3,3,9,9,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
000156,0,0,0,0,4,4,4,4,6,6,6,6,6,6,6,6,3,3,3,3,5,5,8,8,8,8,8,8,3,3,3,3,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,5,5,5,5,8,8,7,7,7,7,7,7,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,8,8,8,8,8,8,6,6,6,6,6,6,9,9,9,9,9,9,4,4,4,4,7,7,8,8,8,8,8,8,4,4,4,4,7,7,8,8,8,8,8,8,3,3,3,3,6,6,9,9,9,9,9,9,4,4,4,4,7,7,7,7,7,7,7,7,4,4,4,4,5,5,7,7,7,7,7,7,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,5,5,5,5,4,4,6,6,6,6,6,6
000157,0,0,0,0,4,4,4,4,7,7,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,2,2,2,2,6,6,8,8,8,8,8,8,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,1,1,1,1,3,3,5,5,5,5,5,5,1,1,1,1,3,3,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,9,9,9,9,9,9,5,5,5,5,6,6,8,8,8,8,8,8,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,6,6,6,6,6,6,4,4,4,4,7,7,8,8,8,8,8,8,5,5,5,5,7,7,5,5,5,5,5,5,6,6,6,6,5,5,8,8,8,8,8,8,6,6,6,6,7,7,7,7,7,7,7,7
000158,0,0,0,0,5,5,5,5,7,7,8,8,8,8,8,8,4,4,4,4,6,6,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,5,5,1,1,1,1,3,3,5,5,5,5,5,5,2,2,2,2,5,5,6,6,6,6,6,6,5,5,5,5,6,6,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,5,5,6,6,6,6,6,6,3,3,3,3,7,7,5,5,5,5,5,5,3,3,3,3,5,5,4,4,4,4,4,4,2,2,2,2,7,7,6,6,6,6,6,6,1,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3
000159,0,0,0,0,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,2,2,2,2,5,5,7,7,7,7,7,7,3,3,3,3,5,5,6,6,6,6,6,6,5,5,5,5,5,5,9,9,9,9,9,9,2,2,2,2,7,7,3,3,3,3,3,3,2,2,2,2,4,4,7,7,7,7,7,7,1,1,1,1,3,3,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,3,3,3,3,6,6,7,7,7,7,7,7,7,7,7,7,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
000301,0,0,0,0,5,5,5,5,6,6,7,7,7,7,7,7,5,5,5,5,8,8,7,7,7,7,7,7,4,4,4,4,8,8,8,8,8,8,8,8,4,4,4,4,7,7,6,6,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,8,8,7,7,7,7,7,7,3,3,3,3,6,6,7,7,7,7,7,7,6,6,6,6,8,8,9,9,9,9,9,9,3,3,3,3,7,7,4,4,4,4,4,4,5,5,5,5,8,8,9,9,9,9,9,9,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5
000400,0,0,0,0,3,3,3,3,6,6,4,4,4,4,4,4,3,3,3,3,5,5,4,4,4,4,4,4,5,5,5,5,6,6,4,4,4,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,3,3,3,3,5,5,6,6,6,6,6,6,4,4,4,4,5,5,6,6,6,6,6,6,4,4,4,4,4,4,6,6,6,6,6,6,4,4,4,4,4,4,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,5,5,5,5,4,4,6,6,6,6,6,6,4,4,4,4,7,7,7,7,7,7,7,7,4,4,4,4,5,5,7,7,7,7,7,7,4,4,4,4,8,8,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,7,7,8,8,8,8,8,8
